fips,state,county,cases,white_cases,black_cases,hispanic_cases,native_cases,asian_cases,TOT_POP,WH,BA,AA,IA,HI,GDP,pov_perc,Med_inc,Unemployment Rate,traffic_vol,house_burden,ownership,residential_seg,food_index,pop_to_phys,water_violation,air_pollution,Uninsured adults raw value,exercise_opp,income_ineq,crime_violent,high_sch_grad,some_college,soc_association,perc_high_cost,perc_overcrowding,perc_plumb,lng_commute,life_exp,pre_mortality,phys_distress,ment_distress,diab_prevalence,food_insecure,food_access,perc_rural
1001,AL,Autauga County,119,44,21,0,0,0,55869,42607,11237,656,266,1671,1690937,13.8,"59,338",2.7,88.457040416,0.1340348117,0.7489462467,23.628395199,7.2,2220.16,0,11.7,0.1114898915,0.6913012406,5.2345972691,272.28222006,0.9,0.6200997368,12.071202076,0.128267183,0.0120192308,0.0134615385,0.396,76.879477172,417.54755051,0.1368522862,0.1412934665,0.111,0.132,0.11991125,0.4200216232
1003,AL,Baldwin County,201,144,6,0,0,0,223234,195198,19593,2380,1742,10534,6606080,9.8,"57,588",2.7,86.997429882,0.1172580795,0.7361934319,31.825343231,8,1371.7935484,0,10.3,0.1434852477,0.7371354895,4.4177666786,203.66039629,0.863615768,0.6737161982,10.205617322,0.1227738802,0.0127079175,0.0047904192,0.417,78.450258368,353.34311052,0.1248010767,0.1347533556,0.107,0.116,0.054244266,0.4227909911
1005,AL,Barbour County,91,5,32,0,0,0,24686,12134,11906,116,170,1117,851956,30.9,"34,382",3.8,102.29176221,0.1405954631,0.6139777923,23.449712509,5.6,3158.75,0,11.5,0.1608583414,0.5316676986,5.6814100186,414.27786068,0.8141025641,0.3485764862,7.5187969925,0.1344594595,0.0168859649,0.0060307018,0.322,75.34193493,497.35006209,0.171848975,0.1658625221,0.176,0.22,0.1073966657,0.677896347
1007,AL,Bibb County,50,17,5,0,0,0,22394,17191,4763,48,103,623,424510,21.8,"46,064",3.1,29.335580011,0.0988687432,0.7507309942,52.600205502,7.8,2060.7272727,0,11.2,0.13,0.1625136374,4.3685805106,89.349125982,0.8376383764,0.4413735343,8.3818598906,0.0997827661,0.0025531915,0.0070921986,0.498,73.571820279,589.04111681,0.1362657549,0.1401753635,0.145,0.143,0.0260162701,0.6835260746
1009,AL,Blount County,37,15,0,0,0,0,57826,55412,978,185,370,5582,942904,13.2,"50,412",2.7,33.411781963,0.0846225729,0.7862621359,17.694494741,8.4,4462.5384615,0,11.7,0.1708234188,0.1563448589,4.4302623315,482.69061089,0.9346879536,0.5336107325,8.4463827073,0.0785144566,0.018913676,0.0109117362,0.594,74.145825897,515.61182276,0.1452316434,0.1485927083,0.17,0.107,0.0288014982,0.8995150204
1011,AL,Bullock County,125,0,106,0,0,0,10101,2689,7097,21,84,864,256130,42.5,"29,267",3.6,4.0665381995,0.1850152905,0.7553338875,30.618760426,4.3,3436.3333333,0,11.2,0.1524096386,0.0250137438,7.4101959944,311.0273327,0.7024793388,0.3497609415,7.7602095257,0.1521044993,0.0011251758,0.0309423347,0.46,73.530894789,562.24752995,0.1688096852,0.1585477602,0.237,0.248,0.1974335074,0.5137438153
1013,AL,Butler County,263,65,166,0,0,0,19448,10127,8747,279,77,289,632592,24.5,"37,365",3.6,19.311067904,0.1154595648,0.6994633274,37.511848048,6.6,3965,1,10.6,0.1450576534,0.4857974889,5.4235955818,581.58400519,0.8158995816,0.4167875648,9.079445145,0.1169230769,0.0169381107,0.0039087948,0.323,72.918309203,609.16970743,0.1669670739,0.1691536387,0.192,0.206,0.0292612193,0.7123215735
1015,AL,Calhoun County,124,72,23,0,0,0,113605,85322,24213,1024,605,4614,4428092,19.5,"45,400",3.5,109.89916308,0.1172243222,0.6947349721,40.68118287,6.9,1571.6164384,0,11.8,0.1538868712,0.477212158,5.0238964487,756.06654427,0.9236804565,0.5924398864,14.469004951,0.1182493249,0.0154204571,0.008431329,0.312,73.039108585,574.56384163,0.1475440129,0.1519150739,0.175,0.157,0.0917856658,0.3369682556
1017,AL,Chambers County,301,81,181,0,0,0,33254,18970,13365,374,109,871,2218892,18.7,"39,917",2.9,20.271586909,0.1238102792,0.677641314,25.672844447,6.4,2408.0714286,0,11.4,0.1522631684,0.6186467923,4.7449321347,528.99973623,0.8623853211,0.4846033403,17.79728888,0.1237707948,0.0403610108,0.0093862816,0.318,74.291076031,511.62651724,0.1524778731,0.1549667308,0.199,0.179,0.1032855828,0.4914803449
1021,AL,Chilton County,65,27,0,0,0,0,44428,38677,4596,217,250,3636,965008,17.3,"47,547",2.7,28.80120495,0.1215950219,0.7484926273,33.224416226,8.1,4896.3333333,0,11.2,0.1750468398,0.4629379282,5.1076679484,507.81072095,0.8820598007,0.3990556964,15.204120998,0.1066060606,0.0288808664,0.0081227437,0.503,74.926750554,519.63080554,0.145909916,0.1517709983,0.186,0.131,0.0146053096,0.8674472424
